city;district;front;size;property_age;bedrooms;bathrooms;livingrooms;kitchen;garage;driver_room;maid_room;furnished;ac;roof;pool;frontyard;basement;duplex;stairs;elevator;fireplace;price;
 «·—Ì«÷;   ÕÌ «·Ì—„Êﬂ ;‘„«·;300;10;4;3;2;1;1;1;1;0;0;0;0;1;0;0;1;0;0;65000;
 «·—Ì«÷;   ÕÌ «·„·ﬁ« ;Ã‰Ê»;375;4;5;5;3;1;1;1;1;0;1;1;0;1;0;0;0;0;0;120000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘—ﬁ;300;2;5;5;1;1;1;0;1;0;1;0;0;1;0;1;1;0;0;85000;
 «·—Ì«÷;   ÕÌ «·—„«· ;‘„«·;300;0;4;5;1;1;1;0;0;0;0;1;0;1;0;1;1;0;0;38000;
 «·—Ì«÷;   ÕÌ ⁄·Ì‘… ;Ã‰Ê» ‘—ﬁÌ;340;0;3;3;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;55000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘—ﬁ;250;2;7;4;2;1;1;1;1;1;0;0;0;1;0;0;1;0;0;110000;
 «·—Ì«÷;   ÕÌ «·⁄ﬁÌﬁ ;Ã‰Ê»;300;15;5;4;3;1;0;1;1;0;1;0;0;0;0;0;1;0;0;120000;
 «·—Ì«÷;   ÕÌ «·—Õ„«‰Ì… ;‘„«· ‘—ﬁÌ;450;13;7;5;2;1;1;1;1;1;1;0;0;1;0;0;1;0;0;120000;
 «·—Ì«÷;   ÕÌ «·„’Ì› ;€—»;500;10;5;5;5;1;1;1;1;0;1;1;0;1;1;0;1;1;0;150000;
 «·—Ì«÷;   ÕÌ «·„Ê‰”Ì… ;€—»;290;0;4;4;3;1;0;0;0;0;0;0;0;0;0;0;1;0;1;60000;
 «·—Ì«÷;   ÕÌ «·„’Ì› ;Ã‰Ê»;400;15;3;3;1;1;1;0;1;0;1;1;0;1;0;0;0;0;1;80000;
 «·—Ì«÷;   ÕÌ «·‰—Ã” ;‘—ﬁ;270;0;4;5;2;1;1;1;1;1;1;0;0;0;0;0;1;0;0;100000;
 «·—Ì«÷;   ÕÌ ŸÂ—… ·»‰ ;‘„«·;200;0;5;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;35000;
 «·—Ì«÷;   ÕÌ «·„·ﬁ« ;€—»;200;0;4;5;2;1;1;1;1;0;1;0;0;0;0;1;0;0;0;150000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;250;0;5;5;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;80000;
